"","Value","Count","CL","NVC_CLASS","SC","NVC_SUBCL","FRM","NVC_FORM","DIV","NVC_DIV","MACRO_CD","NVC_MACRO","GR","NVC_GROUP","LEVEL3","ECOLSYS_LU","NVCMES"
"1",11,876,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland","G009","Dry-Mesic Loamy Longleaf Pine Woodland",4536,"Atlantic Coastal Plain Upland Longleaf Pine Woodland","1.B.1.NaM007G009E11"
"2",12,101,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland","G154","Xeric Longleaf Pine Woodland",5602,"Atlantic Coastal Plain Xeric River Dune","1.B.1.NaM007G154E12"
"3",34,15,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M305","Southeastern North American Ruderal Forest & Plantation","G031","Southeastern Native Ruderal Forest",8201,"Deciduous Plantations","1.B.1.NaM305G031E34"
"4",38,6262,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M305","Southeastern North American Ruderal Forest","G031","Southeastern Native Ruderal Forest",8202,"Evergreen Plantation or Managed Pine","1.B.1.NaM305G031E38"
"5",213,42,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M031","Southern Coastal Plain Floodplain Forest","G034","Oak - Sweetgum Floodplain Forest",9801,"Atlantic Coastal Plain Blackwater Stream Floodplain Forest - Forest Modifier","1.B.3.NbM031G034E213"
"6",216,14964,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M031","Southern Coastal Plain Floodplain Forest","G034","Oak - Sweetgum Floodplain Forest",9843,"Atlantic Coastal Plain Small Blackwater River Floodplain Forest","1.B.3.NbM031G034E216"
"7",238,1096,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M032","Southern Coastal Plain Evergreen Hardwood-Conifer Swamp","G037","Coastal Plain Mixed Evergreen Swamp",9838,"Southern Coastal Plain Hydric Hammock","1.B.3.NbM032G037E238"
"8",239,358,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M032","Southern Coastal Plain Evergreen Hardwood-Conifer Swamp","G037","Coastal Plain Mixed Evergreen Swamp",9208,"Southern Coastal Plain Seepage Swamp and Baygall","1.B.3.NbM032G037E239"
"9",247,1192,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.3","Temperate Flooded & Swamp Forest","1.B.3.Nb","Southeastern North American Flooded & Swamp Forest","M033","Southern Coastal Plain Basin Swamp & Flatwoods","G038","Coastal Plain Hardwood Basin Swamp",9239,"Southern Coastal Plain Nonriverine Basin Swamp","1.B.3.NbM033G038E247"
"10",256,275,1,"Forest & Woodland","1.B","Temperate & Boreal Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","1.B.1.Na","Southeastern North American Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland","G596","Mesic Longleaf Pine Flatwoods - Spodosol Woodland",9907,"Atlantic Coastal Plain Southern Wet Pine Savanna and Flatwoods","1.B.1.NaM007G596E256"
